iter	Passed	Remaining
401	16550	24619
402	16593	24581
403	16631	24536
404	16673	24495
405	16720	24462
406	16754	24411
407	16802	24379
408	16848	24346
409	16896	24314
410	16943	24281
411	16986	24243
412	17024	24196
413	17062	24150
414	17096	24100
415	17134	24054
416	17171	24006
417	17209	23961
418	17250	23919
419	17291	23879
420	17335	23841
421	17370	23792
422	17408	23746
423	17448	23704
424	17490	23664
425	17533	23624
426	17573	23582
427	17610	23535
428	17656	23501
429	17696	23458
430	17740	23420
431	17785	23384
432	17825	23341
433	17873	23310
434	17912	23266
435	17959	23231
436	18000	23190
437	18040	23147
438	18076	23099
439	18110	23049
440	18146	23001
441	18186	22959
442	18222	22912
443	18257	22863
444	18294	22816
445	18335	22774
446	18373	22729
447	18409	22682
448	18443	22633
449	18476	22582
450	18512	22535
451	18552	22492
452	18588	22445
453	18628	22403
454	18673	22367
455	18713	22324
456	18749	22277
457	18786	22231
458	18831	22195
459	18868	22149
460	18904	22103
461	18946	22063
462	18986	22020
463	19020	21971
464	19054	21923
465	19088	21874
466	19126	21829
467	19167	21789
468	19209	21749
469	19246	21703
470	19285	21660
471	19324	21617
472	19363	21574
473	19404	21533
474	19439	21485
475	19481	21446
476	19524	21407
477	19560	21360
478	19604	21323
479	19653	21291
480	19697	21253
481	19733	21207
482	19774	21165
483	19813	21123
484	19855	21084
485	19897	21043
486	19934	20999
487	19975	20957
488	20015	20915
489	20056	20874
490	20098	20834
491	20140	20795
492	20178	20751
493	20215	20706
494	20249	20659
495	20288	20615
496	20325	20570
497	20354	20518
498	20393	20475
499	20431	20431
500	20469	20387
501	20504	20340
502	20538	20293
503	20573	20246
504	20609	20201
505	20652	20162
506	20687	20116
507	20723	20070
508	20755	20021
509	20794	19979
510	20843	19946
511	20897	19918
512	20947	19886
513	20995	19851
514	21037	19811
515	21072	19765
516	21110	19722
517	21147	19677
518	21185	19634
519	21225	19592
520	21275	19560
521	21316	19519
522	21355	19477
523	21392	19433
524	21440	19398
525	21480	19356
526	21519	19314
527	21561	19274
528	21605	19236
529	21648	19197
530	21691	19159
531	21731	19116
532	21770	19074
533	21814	19036
534	21858	18998
535	21902	18960
536	21941	18917
537	21979	18874
538	22028	18840
539	22067	18798
540	22107	18756
541	22146	18714
542	22200	18684
543	22234	18637
544	22271	18593
545	22308	18549
546	22344	18505
547	22386	18464
548	22420	18418
549	22454	18371
550	22492	18328
551	22533	18288
552	22569	18243
553	22607	18200
554	22651	18162
555	22694	18123
556	22730	18078
557	22766	18033
558	22803	17990
559	22842	17947
560	22883	17906
561	22924	17866
562	22957	17819
563	22995	17776
564	23031	17732
565	23073	17692
566	23107	17646
567	23147	17605
568	23191	17567
569	23233	17527
570	23274	17486
571	23317	17447
572	23355	17404
573	23394	17362
574	23432	17319
575	23471	17277
576	23514	17238
577	23558	17199
578	23600	17160
579	23647	17124
580	23691	17085
581	23732	17044
582	23769	17001
583	23808	16959
584	23849	16918
585	23889	16877
586	23929	16836
587	23971	16796
588	24009	16753
589	24048	16711
590	24082	16666
591	24124	16626
592	24162	16583
593	24194	16537
594	24234	16495
595	24271	16452
596	24309	16409
597	24346	16366
598	24384	16324
599	24420	16280
600	24459	16238
601	24501	16198
602	24540	16156
603	24580	16115
604	24620	16074
605	24658	16031
606	24695	15989
607	24730	15944
608	24769	15903
609	24808	15861
610	24841	15815
611	24877	15771
612	24917	15731
613	24953	15687
614	24991	15644
615	25030	15603
616	25060	15556
617	25097	15513
618	25138	15473
619	25180	15433
620	25223	15393
621	25265	15353
622	25302	15311
623	25338	15267
624	25376	15225
625	25419	15186
626	25461	15146
627	25497	15103
628	25537	15062
629	25576	15020
630	25616	14980
631	25661	14941
632	25697	14898
633	25737	14857
634	25777	14817
635	25816	14775
636	25859	14736
637	25899	14695
638	25939	14654
639	25979	14613
640	26017	14571
641	26058	14530
642	26098	14490
643	26144	14452
644	26187	14413
645	26222	14369
646	26258	14326
647	26294	14283
648	26332	14241
649	26368	14198
650	26405	14156
651	26445	14114
652	26483	14073
653	26519	14030
654	26552	13985
655	26593	13945
656	26634	13905
657	26672	13863
658	26710	13821
659	26750	13780
660	26788	13738
661	26825	13696
662	26863	13654
663	26897	13610
664	26931	13566
665	26966	13523
666	27004	13481
667	27042	13440
668	27077	13396
669	27122	13358
670	27163	13318
671	27201	13276
672	27241	13236
673	27283	13196
674	27323	13155
675	27365	13115
676	27409	13077
677	27448	13036
678	27490	12996
679	27529	12954
680	27569	12914
681	27612	12875
682	27657	12836
683	27700	12797
684	27739	12756
685	27783	12717
686	27822	12676
687	27862	12635
688	27902	12594
689	27938	12552
690	27978	12511
691	28015	12469
692	28055	12428
693	28096	12388
694	28138	12348
695	28175	12306
696	28214	12265
697	28251	12223
698	28290	12182
699	28325	12139
700	28359	12096
701	28401	12056
702	28437	12014
703	28472	11971
704	28508	11928
705	28544	11886
706	28579	11844
707	28615	11801
708	28655	11761
709	28692	11719
710	28731	11678
711	28771	11637
712	28808	11596
713	28843	11553
714	28883	11513
715	28920	11471
716	28956	11429
717	28991	11386
718	29030	11345
719	29069	11304
720	29104	11262
721	29147	11223
722	29183	11180
723	29223	11140
724	29266	11100
725	29302	11059
726	29339	11017
727	29379	10976
728	29420	10936
729	29457	10895
730	29493	10853
731	29531	10812
732	29575	10772
733	29618	10733
734	29659	10693
735	29698	10652
736	29736	10611
737	29776	10571
738	29813	10529
739	29854	10489
740	29891	10447
741	29927	10405
742	29966	10365
743	30001	10323
744	30045	10284
745	30085	10243
746	30129	10204
747	30168	10163
748	30205	10122
749	30243	10081
750	30283	10040
751	30326	10001
752	30364	9960
753	30410	9921
754	30450	9881
755	30490	9840
756	30529	9800
757	30570	9759
758	30616	9721
759	30658	9681
760	30698	9641
761	30732	9598
762	30771	9558
763	30810	9517
764	30845	9475
765	30882	9433
766	30916	9391
767	30951	9349
768	30988	9308
769	31025	9267
770	31063	9226
771	31108	9187
772	31149	9147
773	31187	9106
774	31227	9065
775	31266	9025
776	31306	8984
777	31347	8944
778	31389	8905
779	31428	8864
780	31471	8824
781	31511	8784
782	31550	8743
783	31596	8705
784	31640	8665
785	31683	8626
786	31723	8585
787	31762	8545
788	31799	8504
789	31837	8463
790	31874	8421
791	31911	8380
792	31953	8340
793	31997	8301
794	32053	8265
795	32093	8225
796	32135	8185
797	32176	8144
798	32210	8102
799	32246	8061
800	32283	8020
801	32324	7980
802	32363	7939
803	32401	7898
804	32437	7857
805	32476	7816
806	32511	7775
807	32550	7734
808	32592	7695
809	32633	7654
810	32674	7614
811	32709	7573
812	32743	7531
813	32783	7491
814	32820	7450
815	32855	7408
816	32894	7368
817	32935	7327
818	32972	7286
819	33007	7245
820	33071	7210
821	33107	7169
822	33144	7128
823	33184	7087
824	33223	7047
825	33258	7006
826	33299	6965
827	33344	6926
828	33383	6886
829	33423	6845
830	33465	6805
831	33510	6766
832	33551	6726
833	33596	6687
834	33637	6646
835	33679	6606
836	33719	6566
837	33757	6525
838	33798	6485
839	33838	6445
840	33882	6405
841	33921	6365
842	33961	6324
843	34002	6284
844	34046	6245
845	34087	6205
846	34131	6165
847	34167	6124
848	34203	6083
849	34241	6042
850	34278	6001
851	34313	5960
852	34351	5919
853	34385	5878
854	34426	5838
855	34470	5798
856	34508	5758
857	34547	5717
858	34591	5677
859	34631	5637
860	34675	5597
861	34711	5557
862	34750	5516
863	34785	5475
864	34825	5435
865	34863	5394
866	34897	5353
867	34936	5312
868	34974	5272
869	35011	5231
870	35054	5191
871	35097	5151
872	35136	5111
873	35176	5071
874	35215	5030
875	35257	4990
876	35294	4950
877	35336	4910
878	35376	4869
879	35414	4829
880	35455	4789
881	35496	4748
882	35538	4708
883	35589	4670
884	35628	4629
885	35671	4589
886	35709	4549
887	35751	4509
888	35791	4468
889	35833	4428
890	35870	4388
891	35911	4348
892	35956	4308
893	35993	4267
894	36035	4227
895	36077	4187
896	36117	4147
897	36156	4106
898	36192	4066
899	36227	4025
900	36264	3984
901	36303	3944
902	36342	3903
903	36375	3862
904	36406	3821
905	36445	3781
906	36486	3741
907	36531	3701
908	36574	3661
909	36609	3620
910	36648	3580
911	36688	3540
912	36725	3499
913	36765	3459
914	36805	3419
915	36839	3378
916	36882	3338
917	36921	3298
918	36958	3257
919	36997	3217
920	37033	3176
921	37072	3136
922	37110	3095
923	37149	3055
924	37188	3015
925	37229	2975
926	37271	2935
927	37315	2895
928	37350	2854
929	37388	2814
930	37432	2774
931	37469	2733
932	37509	2693
933	37553	2653
934	37596	2613
935	37637	2573
936	37676	2533
937	37713	2492
938	37754	2452
939	37792	2412
940	37835	2372
941	37879	2332
942	37916	2291
943	37959	2251
944	37998	2211
945	38041	2171
946	38085	2131
947	38127	2091
948	38163	2050
949	38202	2010
950	38238	1970
951	38279	1930
952	38315	1889
953	38351	1849
954	38384	1808
955	38421	1768
956	38460	1728
957	38498	1687
958	38539	1647
959	38583	1607
960	38623	1567
961	38661	1527
962	38696	1486
963	38731	1446
964	38768	1406
965	38806	1365
966	38839	1325
967	38875	1285
968	38916	1245
969	38953	1204
970	38990	1164
971	39026	1124
972	39068	1084
973	39113	1044
974	39154	1003
975	39195	963
976	39243	923
977	39286	883
978	39325	843
979	39362	803
980	39399	763
981	39438	722
