iter	Logloss
0	0.5820557013
1	0.5007601954
2	0.4410084799
3	0.4001702107
4	0.3661751304
5	0.3421610632
6	0.3216829166
7	0.3079192187
8	0.2978813898
9	0.2888060227
10	0.281739408
11	0.2760558041
12	0.271610111
13	0.2681896698
14	0.2658716579
15	0.2633333933
16	0.261471433
17	0.2598492413
18	0.2586182195
19	0.2577447329
20	0.2568192954
21	0.2560472905
22	0.2553577521
23	0.2548132702
24	0.2544383048
25	0.2539858262
26	0.2535398432
27	0.2531727065
28	0.252861287
29	0.2525813704
30	0.2523493507
31	0.2520793791
32	0.2518559047
33	0.2516637451
34	0.2514897499
35	0.2513622864
36	0.251215738
37	0.2509760551
38	0.2508234633
39	0.2506490279
40	0.250491359
41	0.2504029159
42	0.2502735728
43	0.2501937237
44	0.2500913977
45	0.2499527292
46	0.2498428761
47	0.2497205148
48	0.2495912739
49	0.2495292141
50	0.2494257189
51	0.2493549564
52	0.2492465031
53	0.2491654583
54	0.2490707093
55	0.2489469404
56	0.2488725398
57	0.2487978946
58	0.248736832
59	0.2486683559
60	0.2485568307
61	0.2485005056
62	0.2484470997
63	0.2484057457
64	0.2482886064
65	0.2482023125
66	0.2481600452
67	0.2480957131
68	0.2480432536
69	0.2480095438
70	0.2479448132
71	0.2478426136
72	0.2477624974
73	0.2476934078
74	0.2476255245
75	0.2475627333
76	0.2475057284
77	0.2474629692
78	0.2474141065
79	0.2473757464
80	0.2473164862
81	0.2472587149
82	0.2472311035
83	0.2471575257
84	0.2471226141
85	0.2470673282
86	0.2470280549
87	0.2469823784
88	0.2469362229
89	0.2468748088
90	0.2468461732
91	0.2468081899
92	0.2467633419
93	0.2467226684
94	0.2466961494
95	0.246662848
96	0.2466072471
97	0.2465630503
98	0.2465178639
99	0.2465055103
100	0.2464738581
101	0.2464522979
102	0.2463973092
103	0.246326588
104	0.2462704821
105	0.2462278723
106	0.2462041276
107	0.2461637202
108	0.2461019869
109	0.246043294
110	0.2459754623
111	0.2459340647
112	0.2458987839
113	0.2458587807
114	0.2458135205
115	0.2457555115
116	0.245705904
117	0.2456476233
118	0.2455847561
119	0.2455399007
120	0.2454915691
121	0.245466327
122	0.2454233136
123	0.2453882291
124	0.2453477842
125	0.2453379072
126	0.2452841666
127	0.2452178367
128	0.245177343
129	0.2451283406
130	0.2450772764
131	0.2450409891
132	0.2450087357
133	0.2449685761
134	0.2449578414
135	0.2449234089
136	0.2448898944
137	0.2448680244
138	0.2448206543
139	0.2447849466
140	0.2447294091
141	0.2446954912
142	0.2446864365
143	0.2446323743
144	0.2446163211
145	0.2446022419
146	0.244550013
147	0.2445113238
148	0.2444484889
149	0.2444035168
150	0.2443697888
151	0.2443281618
152	0.244279077
153	0.2442270254
154	0.2441823798
155	0.2441606936
156	0.2441171315
157	0.2440745985
158	0.2440464337
159	0.2439984252
160	0.2439689875
161	0.2439497333
162	0.2438982029
163	0.2438661206
164	0.2438420947
165	0.2438208887
166	0.243819662
167	0.2437757041
168	0.2437470389
169	0.2437195096
170	0.2436615716
171	0.2436158867
172	0.243570552
173	0.243537933
174	0.2435149714
175	0.2434717416
176	0.2434413103
177	0.2434197517
178	0.2433884619
179	0.2433618918
180	0.2433487629
181	0.243307431
182	0.2432811317
183	0.2432571773
184	0.2432207734
185	0.2432059369
186	0.2431578067
187	0.2431119553
188	0.2430719057
189	0.2430378262
190	0.2430127759
191	0.2429748627
192	0.2429357087
193	0.2428950206
194	0.2428633676
195	0.2428560268
196	0.2428308149
197	0.2428065397
198	0.2427734609
199	0.2427376274
200	0.2427089176
201	0.2426567854
202	0.242611082
203	0.2425744653
204	0.2425407386
205	0.2425220359
206	0.2424846508
207	0.2424489768
208	0.2424205317
209	0.2423909983
210	0.2423835739
211	0.2423672066
212	0.2423256552
213	0.2422899834
214	0.2422455469
215	0.2422041067
216	0.242159683
217	0.242140613
218	0.2421248194
219	0.242086306
220	0.242053003
221	0.2420153902
222	0.2419751844
223	0.2419746443
224	0.2419361579
225	0.2419067277
226	0.2418810434
227	0.2418473265
228	0.2417973255
229	0.2417653704
230	0.241737291
231	0.2417009974
232	0.2416796113
233	0.2416620958
234	0.2416388491
235	0.2416076416
236	0.2415804019
237	0.24154641
238	0.2415224367
239	0.2414835895
240	0.2414832202
241	0.2414383897
242	0.241411785
243	0.2413813436
244	0.2413520519
245	0.2413138758
246	0.2412837615
247	0.2412508559
248	0.2412260952
249	0.2411836883
250	0.2411518086
251	0.2411167431
252	0.2410863776
253	0.2410582583
254	0.2410372051
255	0.2410366988
256	0.2410134173
257	0.2409778404
258	0.2409438983
259	0.2409206009
260	0.2408911644
261	0.2408591672
262	0.2408336965
263	0.24079865
264	0.2407844319
265	0.2407536459
266	0.2407344558
267	0.2407095611
268	0.2406802761
269	0.2406545488
270	0.2406228253
271	0.2405783054
272	0.2405369455
273	0.2405128781
274	0.2404683007
275	0.2404415937
276	0.2404093066
277	0.2403901794
278	0.2403561522
279	0.240329362
280	0.2402977559
281	0.2402722133
282	0.2402457735
283	0.240204506
284	0.2401647129
285	0.240141265
286	0.2401182012
287	0.2400916688
288	0.2400703253
289	0.2400392488
290	0.2400168639
291	0.2399980938
292	0.2399816534
293	0.2399612322
294	0.2399307069
295	0.2398936243
296	0.2398720741
297	0.2398466368
298	0.2398151539
299	0.239782264
300	0.2397649127
301	0.239743226
302	0.2397144893
303	0.2397046892
304	0.2396737067
305	0.2396445184
306	0.2396219194
307	0.239611492
308	0.2395802767
309	0.2395424645
310	0.2395185469
311	0.2394824292
312	0.2394447417
313	0.2394133608
314	0.2393816595
315	0.2393378715
316	0.2393299714
317	0.2393093401
318	0.2392935444
319	0.2392547991
320	0.2392237634
321	0.2391982597
322	0.2391833192
323	0.2391576995
324	0.2391572883
325	0.239141413
326	0.2391140672
327	0.2390831643
328	0.2390559024
329	0.2390178502
330	0.2389945386
331	0.2389547112
332	0.2389186303
333	0.2388876112
334	0.2388525384
335	0.238825461
336	0.2388073626
337	0.2387684018
338	0.2387473248
339	0.2387152061
340	0.2386879606
341	0.238656086
342	0.2386370147
343	0.2385987274
344	0.2385659482
345	0.2385334907
346	0.2385061152
347	0.23848919
348	0.2384597632
349	0.2384357019
350	0.2384059477
351	0.2383847439
352	0.2383517631
353	0.2383355337
354	0.2382981533
355	0.2382685142
356	0.2382465876
357	0.2382284557
358	0.2382023603
359	0.2381861903
360	0.2381406903
361	0.2381186943
362	0.2380895598
363	0.2380648609
364	0.2380344677
365	0.2380137494
366	0.2379778571
367	0.2379664457
368	0.2379402485
369	0.237915076
370	0.2379026633
371	0.2378745566
372	0.2378527967
373	0.2378404418
374	0.2378270032
375	0.2378044905
376	0.237766559
377	0.2377468719
378	0.2377075738
379	0.2376680768
380	0.2376286349
381	0.2376008753
382	0.2375700035
383	0.2375441134
384	0.2375084762
385	0.2374870182
386	0.2374619614
387	0.2374363615
388	0.2374036365
389	0.2373880682
390	0.2373636984
391	0.2373446691
392	0.2373250759
393	0.2373041906
394	0.2372743841
395	0.2372503065
396	0.2372103469
397	0.2371891286
398	0.237164756
399	0.2371439045
400	0.2371001153
401	0.2370759085
402	0.2370564876
403	0.2370351352
404	0.2370099596
405	0.2369876921
406	0.2369596149
407	0.2369402844
408	0.2369165436
409	0.2368841189
410	0.2368580294
411	0.2368276508
412	0.2367958883
413	0.2367704881
414	0.2367509573
415	0.2367266725
416	0.2366971485
417	0.2366770195
418	0.2366757242
419	0.2366492428
420	0.2366001224
421	0.2365666601
422	0.2365348659
423	0.2364993751
424	0.2364769347
425	0.2364541423
426	0.2364419727
427	0.2364170352
428	0.2363816811
429	0.2363647595
430	0.236342139
431	0.2363145141
432	0.2362951744
433	0.2362523897
434	0.2362229039
435	0.2362041271
436	0.2361684681
437	0.2361450495
438	0.2361231389
439	0.2361055749
440	0.2360945393
441	0.2360732707
442	0.23603828
443	0.2360180246
444	0.2360159549
445	0.2359920886
446	0.2359738996
447	0.2359396155
448	0.2359267747
449	0.2359047346
450	0.2358917974
451	0.2358654274
452	0.235839101
453	0.2358095653
454	0.2357813042
455	0.235754194
456	0.2357206879
457	0.2357000729
458	0.2356774807
459	0.2356501786
460	0.2356490133
461	0.2356213798
462	0.2356042559
463	0.2355764116
464	0.2355569471
465	0.2355349823
466	0.2355202717
467	0.2355040337
468	0.2354719196
469	0.2354403783
470	0.2354114775
471	0.2353846782
472	0.2353547008
473	0.2353257063
474	0.2353046962
475	0.2353045095
476	0.2352777733
477	0.2352501759
478	0.2352217624
479	0.2351913276
480	0.2351569102
481	0.2351329096
482	0.2351017617
483	0.2350792341
484	0.2350501335
485	0.2350236705
486	0.2349929096
487	0.234970975
488	0.2349439734
489	0.2349242209
490	0.2349009833
491	0.2348817618
492	0.2348643288
493	0.2348466304
494	0.234823932
495	0.2347956054
496	0.2347692513
497	0.2347417088
498	0.2347211917
499	0.2346933576
500	0.234693028
501	0.2346728272
502	0.2346579234
503	0.2346209065
504	0.2346040363
505	0.2345768935
506	0.2345634068
507	0.2345376761
508	0.2345149295
509	0.2344879727
510	0.2344750645
511	0.2344505121
512	0.2344196574
513	0.2343910033
514	0.2343908781
515	0.2343670918
516	0.2343452467
517	0.2343237559
518	0.2343043877
519	0.2342800874
520	0.2342645479
521	0.2342243531
522	0.2341986771
523	0.2341813302
524	0.2341522528
525	0.2341454735
526	0.2341188999
527	0.2341030663
528	0.2340746224
529	0.2340439566
530	0.2340212541
531	0.2339935829
532	0.2339625906
533	0.2339391416
534	0.2339100242
535	0.2338763923
536	0.2338493684
537	0.2338156065
538	0.2338038978
539	0.2337840613
540	0.2337488436
541	0.2337367696
542	0.2337125727
543	0.233681156
544	0.2336404914
545	0.2336113031
546	0.2335812009
547	0.2335554769
548	0.2335184964
549	0.2334971333
550	0.2334646459
551	0.2334347109
552	0.2334121018
553	0.2333855697
554	0.2333664489
555	0.2333463989
556	0.2333304173
557	0.2333046574
558	0.2332774885
559	0.2332627105
